date,home_team,away_team,home_abbr,away_abbr,arena,home_score,away_score
2024-02-10,New York Knicks,Indiana Pacers,NYK,IND,Madison Square Garden,111,125
2024-02-10,Toronto Raptors,Cleveland Cavaliers,TOR,CLE,Scotiabank Arena,95,119
2024-02-10,Golden State Warriors,Phoenix Suns,GSW,PHX,Chase Center,113,112
2024-02-10,Portland Trail Blazers,New Orleans Pelicans,POR,NOP,Moda Center,84,93
2024-02-11,Miami Heat,Boston Celtics,MIA,BOS,Kaseya Center,106,110
2024-02-11,Oklahoma City Thunder,Sacramento Kings,OKC,SAC,Paycom Center,127,113
2024-02-12,Charlotte Hornets,Indiana Pacers,CHA,IND,Spectrum Center,111,102
2024-02-12,Cleveland Cavaliers,Philadelphia 76ers,CLE,PHI,Rocket Mortgage FieldHouse,121,123
2024-02-12,Atlanta Hawks,Chicago Bulls,ATL,CHI,State Farm Arena,126,136
2024-02-12,Toronto Raptors,San Antonio Spurs,TOR,SAS,Scotiabank Arena,99,122
2024-02-12,Houston Rockets,New York Knicks,HOU,NYK,Toyota Center,105,103
2024-02-12,Memphis Grizzlies,New Orleans Pelicans,MEM,NOP,FedExForum,87,96
2024-02-12,Milwaukee Bucks,Denver Nuggets,MIL,DEN,Fiserv Forum,112,95
2024-02-12,Dallas Mavericks,Washington Wizards,DAL,WAS,American Airlines Center,112,104
2024-02-12,Utah Jazz,Golden State Warriors,UTA,GSW,Delta Center,107,129
2024-02-12,LA Clippers,Minnesota Timberwolves,LAC,MIN,Crypto.com Arena,100,121
2024-02-13,Brooklyn Nets,Boston Celtics,BKN,BOS,Barclays Center,110,118
2024-02-13,Orlando Magic,Oklahoma City Thunder,ORL,OKC,Kia Center,113,127
2024-02-13,Milwaukee Bucks,Miami Heat,MIL,MIA,Fiserv Forum,97,123
2024-02-13,Phoenix Suns,Sacramento Kings,PHX,SAC,Footprint Center,130,125
2024-02-13,Portland Trail Blazers,Minnesota Timberwolves,POR,MIN,Moda Center,109,121
2024-02-13,Los Angeles Lakers,Detroit Pistons,LAL,DET,Crypto.com Arena,125,111
2024-02-14,Charlotte Hornets,Atlanta Hawks,CHA,ATL,Spectrum Center,122,99
2024-02-14,Orlando Magic,New York Knicks,ORL,NYK,Kia Center,118,100
2024-02-14,Philadelphia 76ers,Miami Heat,PHI,MIA,Wells Fargo Center,104,109
2024-02-14,Boston Celtics,Brooklyn Nets,BOS,BKN,TD Garden,136,86
2024-02-14,Cleveland Cavaliers,Chicago Bulls,CLE,CHI,Rocket Mortgage FieldHouse,108,105
2024-02-14,Toronto Raptors,Indiana Pacers,TOR,IND,Scotiabank Arena,125,127
2024-02-14,Memphis Grizzlies,Houston Rockets,MEM,HOU,FedExForum,121,113
2024-02-14,New Orleans Pelicans,Washington Wizards,NOP,WAS,Smoothie King Center,133,126
2024-02-14,Dallas Mavericks,San Antonio Spurs,DAL,SAS,American Airlines Center,116,93
2024-02-14,Denver Nuggets,Sacramento Kings,DEN,SAC,Ball Arena,98,102
2024-02-14,Phoenix Suns,Detroit Pistons,PHX,DET,Footprint Center,116,100
2024-02-14,Utah Jazz,Los Angeles Lakers,UTA,LAL,Delta Center,122,138
2024-02-14,Golden State Warriors,LA Clippers,GSW,LAC,Chase Center,125,130
2024-02-15,Memphis Grizzlies,Milwaukee Bucks,MEM,MIL,FedExForum,113,110
2024-02-15,Utah Jazz,Golden State Warriors,UTA,GSW,Delta Center,137,140
2024-02-15,Portland Trail Blazers,Minnesota Timberwolves,POR,MIN,Moda Center,91,128
2024-02-16,Team Tamika,Team Jalen,TAM,JAL,Gainbridge Fieldhouse,35,40
2024-02-16,Team Pau,Team Detlef,PAU,DLF,Gainbridge Fieldhouse,36,41
2024-02-16,Team Jalen,Team Detlef,JAL,DLF,Gainbridge Fieldhouse,26,13
2024-02-18,East NBA All Stars East,West NBA All Stars West,EST,WST,Gainbridge Fieldhouse,211,186
2024-02-22,Cleveland Cavaliers,Orlando Magic,CLE,ORL,Rocket Mortgage FieldHouse,109,116
2024-02-22,Indiana Pacers,Detroit Pistons,IND,DET,Gainbridge Fieldhouse,129,115
2024-02-22,Philadelphia 76ers,New York Knicks,PHI,NYK,Wells Fargo Center,96,110
2024-02-22,Toronto Raptors,Brooklyn Nets,TOR,BKN,Scotiabank Arena,121,93
2024-02-22,Dallas Mavericks,Phoenix Suns,DAL,PHX,American Airlines Center,123,113
2024-02-22,Chicago Bulls,Boston Celtics,CHI,BOS,United Center,112,129
2024-02-22,New Orleans Pelicans,Houston Rockets,NOP,HOU,Smoothie King Center,127,105
2024-02-22,Oklahoma City Thunder,LA Clippers,OKC,LAC,Paycom Center,129,107
2024-02-22,Denver Nuggets,Washington Wizards,DEN,WAS,Ball Arena,130,110
2024-02-22,Utah Jazz,Charlotte Hornets,UTA,CHA,Delta Center,107,115
2024-02-22,Golden State Warriors,Los Angeles Lakers,GSW,LAL,Chase Center,128,110
2024-02-22,Sacramento Kings,San Antonio Spurs,SAC,SAS,Golden 1 Center,127,122
2024-02-23,Atlanta Hawks,Toronto Raptors,ATL,TOR,State Farm Arena,121,123
2024-02-23,Philadelphia 76ers,Cleveland Cavaliers,PHI,CLE,Wells Fargo Center,104,97
2024-02-23,Houston Rockets,Phoenix Suns,HOU,PHX,Toyota Center,114,110
2024-02-23,Memphis Grizzlies,LA Clippers,MEM,LAC,FedExForum,95,101
2024-02-23,Oklahoma City Thunder,Washington Wizards,OKC,WAS,Paycom Center,147,106
2024-02-23,New Orleans Pelicans,Miami Heat,NOP,MIA,Smoothie King Center,95,106
2024-02-23,Minnesota Timberwolves,Milwaukee Bucks,MIN,MIL,Target Center,107,112
2024-02-23,Golden State Warriors,Charlotte Hornets,GSW,CHA,Chase Center,97,84
2024-02-23,Portland Trail Blazers,Denver Nuggets,POR,DEN,Moda Center,112,127
2024-02-23,Los Angeles Lakers,San Antonio Spurs,LAL,SAS,Crypto.com Arena,123,118
2024-02-24,Detroit Pistons,Orlando Magic,DET,ORL,Little Caesars Arena,109,112
2024-02-24,New York Knicks,Boston Celtics,NYK,BOS,Madison Square Garden,102,116
2024-02-24,Minnesota Timberwolves,Brooklyn Nets,MIN,BKN,Target Center,101,86
2024-02-25,Philadelphia 76ers,Milwaukee Bucks,PHI,MIL,Wells Fargo Center,98,119
2024-02-25,Phoenix Suns,Los Angeles Lakers,PHX,LAL,Footprint Center,123,113
2024-02-25,Indiana Pacers,Dallas Mavericks,IND,DAL,Gainbridge Fieldhouse,133,111
2024-02-25,Washington Wizards,Cleveland Cavaliers,WAS,CLE,Capital One Arena,105,114
2024-02-25,Atlanta Hawks,Orlando Magic,ATL,ORL,State Farm Arena,109,92
2024-02-25,Houston Rockets,Oklahoma City Thunder,HOU,OKC,Toyota Center,110,123
2024-02-25,New Orleans Pelicans,Chicago Bulls,NOP,CHI,Smoothie King Center,106,114
2024-02-25,Golden State Warriors,Denver Nuggets,GSW,DEN,Chase Center,103,119
2024-02-25,Utah Jazz,San Antonio Spurs,UTA,SAS,Delta Center,128,109
2024-02-25,Portland Trail Blazers,Charlotte Hornets,POR,CHA,Moda Center,80,93
2024-02-25,LA Clippers,Sacramento Kings,LAC,SAC,Crypto.com Arena,107,123
2024-02-26,Indiana Pacers,Toronto Raptors,IND,TOR,Gainbridge Fieldhouse,122,130
2024-02-26,New York Knicks,Detroit Pistons,NYK,DET,Madison Square Garden,113,111
2024-02-26,Memphis Grizzlies,Brooklyn Nets,MEM,BKN,FedExForum,86,111
2024-02-26,Sacramento Kings,Miami Heat,SAC,MIA,Golden 1 Center,110,121
2024-02-27,Cleveland Cavaliers,Dallas Mavericks,CLE,DAL,Rocket Mortgage FieldHouse,121,119
2024-02-27,Orlando Magic,Brooklyn Nets,ORL,BKN,Kia Center,108,81
2024-02-27,Washington Wizards,Golden State Warriors,WAS,GSW,Capital One Arena,112,123
2024-02-27,Atlanta Hawks,Utah Jazz,ATL,UTA,State Farm Arena,124,97
2024-02-27,Boston Celtics,Philadelphia 76ers,BOS,PHI,TD Garden,117,99
2024-02-27,New York Knicks,New Orleans Pelicans,NYK,NOP,Madison Square Garden,92,115
2024-02-27,Minnesota Timberwolves,San Antonio Spurs,MIN,SAS,Target Center,114,105
2024-02-27,Chicago Bulls,Detroit Pistons,CHI,DET,United Center,95,105
2024-02-27,Milwaukee Bucks,Charlotte Hornets,MIL,CHA,Fiserv Forum,123,85
2024-02-27,Oklahoma City Thunder,Houston Rockets,OKC,HOU,Paycom Center,112,95
2024-02-27,Portland Trail Blazers,Miami Heat,POR,MIA,Moda Center,96,106
2024-02-28,Indiana Pacers,New Orleans Pelicans,IND,NOP,Gainbridge Fieldhouse,123,114
2024-02-28,Toronto Raptors,Dallas Mavericks,TOR,DAL,Scotiabank Arena,125,136
2024-02-28,Minnesota Timberwolves,Memphis Grizzlies,MIN,MEM,Target Center,110,101
2024-02-28,Chicago Bulls,Cleveland Cavaliers,CHI,CLE,United Center,132,123
2024-02-28,Denver Nuggets,Sacramento Kings,DEN,SAC,Ball Arena,117,96
2024-02-28,LA Clippers,Los Angeles Lakers,LAC,LAL,Crypto.com Arena,112,116
2024-02-29,Charlotte Hornets,Milwaukee Bucks,CHA,MIL,Spectrum Center,99,111
2024-02-29,Orlando Magic,Utah Jazz,ORL,UTA,Kia Center,115,107
2024-02-29,Brooklyn Nets,Atlanta Hawks,BKN,ATL,Barclays Center,124,97
2024-02-29,New York Knicks,Golden State Warriors,NYK,GSW,Madison Square Garden,99,110
2024-02-29,San Antonio Spurs,Oklahoma City Thunder,SAS,OKC,Frost Bank Center,132,118
2024-02-29,Phoenix Suns,Houston Rockets,PHX,HOU,Footprint Center,110,105
2024-02-29,Denver Nuggets,Miami Heat,DEN,MIA,Ball Arena,103,97
2024-02-29,Los Angeles Lakers,Washington Wizards,LAL,WAS,Crypto.com Arena,134,131
2024-03-01,Detroit Pistons,Cleveland Cavaliers,DET,CLE,Little Caesars Arena,100,110
2024-03-01,Philadelphia 76ers,Charlotte Hornets,PHI,CHA,Wells Fargo Center,121,114
2024-03-01,Boston Celtics,Dallas Mavericks,BOS,DAL,TD Garden,138,110
2024-03-01,Toronto Raptors,Golden State Warriors,TOR,GSW,Scotiabank Arena,105,120
2024-03-01,Memphis Grizzlies,Portland Trail Blazers,MEM,POR,FedExForum,92,122
2024-03-01,Minnesota Timberwolves,Sacramento Kings,MIN,SAC,Target Center,120,124
2024-03-01,New Orleans Pelicans,Indiana Pacers,NOP,IND,Smoothie King Center,129,102
2024-03-01,Chicago Bulls,Milwaukee Bucks,CHI,MIL,United Center,97,113
2024-03-01,LA Clippers,Washington Wizards,LAC,WAS,Crypto.com Arena,140,115
2024-03-02,Brooklyn Nets,Atlanta Hawks,BKN,ATL,Barclays Center,114,102
2024-03-02,Miami Heat,Utah Jazz,MIA,UTA,Kaseya Center,126,120
2024-03-02,Memphis Grizzlies,Portland Trail Blazers,MEM,POR,FedExForum,100,107
2024-03-02,Los Angeles Lakers,Denver Nuggets,LAL,DEN,Crypto.com Arena,114,124
2024-03-02,Phoenix Suns,Houston Rockets,PHX,HOU,Footprint Center,109,118
2024-03-03,Dallas Mavericks,Philadelphia 76ers,DAL,PHI,American Airlines Center,116,120
2024-03-03,Boston Celtics,Golden State Warriors,BOS,GSW,TD Garden,140,88
2024-03-03,Minnesota Timberwolves,LA Clippers,MIN,LAC,Target Center,88,89
2024-03-03,Orlando Magic,Detroit Pistons,ORL,DET,Kia Center,113,91
2024-03-03,Toronto Raptors,Charlotte Hornets,TOR,CHA,Scotiabank Arena,111,106
2024-03-03,Cleveland Cavaliers,New York Knicks,CLE,NYK,Rocket Mortgage FieldHouse,98,107
2024-03-03,San Antonio Spurs,Indiana Pacers,SAS,IND,Frost Bank Center,117,105
2024-03-03,Phoenix Suns,Oklahoma City Thunder,PHX,OKC,Footprint Center,110,118
2024-03-04,Brooklyn Nets,Memphis Grizzlies,BKN,MEM,Barclays Center,102,106
2024-03-04,Milwaukee Bucks,LA Clippers,MIL,LAC,Fiserv Forum,113,106
2024-03-04,Minnesota Timberwolves,Portland Trail Blazers,MIN,POR,Target Center,119,114
2024-03-04,Utah Jazz,Washington Wizards,UTA,WAS,Delta Center,127,115
2024-03-04,Sacramento Kings,Chicago Bulls,SAC,CHI,Golden 1 Center,109,113
2024-03-04,Los Angeles Lakers,Oklahoma City Thunder,LAL,OKC,Crypto.com Arena,116,104
2024-03-05,Charlotte Hornets,Orlando Magic,CHA,ORL,Spectrum Center,89,101
2024-03-05,Cleveland Cavaliers,Boston Celtics,CLE,BOS,Rocket Mortgage FieldHouse,105,104
2024-03-05,Brooklyn Nets,Philadelphia 76ers,BKN,PHI,Barclays Center,112,107
2024-03-05,Miami Heat,Detroit Pistons,MIA,DET,Kaseya Center,118,110
2024-03-05,New York Knicks,Atlanta Hawks,NYK,ATL,Madison Square Garden,100,116
2024-03-05,Toronto Raptors,New Orleans Pelicans,TOR,NOP,Scotiabank Arena,98,139
2024-03-05,Houston Rockets,San Antonio Spurs,HOU,SAS,Toyota Center,114,101
2024-03-05,Dallas Mavericks,Indiana Pacers,DAL,IND,American Airlines Center,120,137
2024-03-05,Denver Nuggets,Phoenix Suns,DEN,PHX,Ball Arena,107,117
2024-03-06,Washington Wizards,Orlando Magic,WAS,ORL,Capital One Arena,109,119
2024-03-06,Atlanta Hawks,Cleveland Cavaliers,ATL,CLE,State Farm Arena,112,101
2024-03-06,Philadelphia 76ers,Memphis Grizzlies,PHI,MEM,Wells Fargo Center,109,115
2024-03-06,Houston Rockets,LA Clippers,HOU,LAC,Toyota Center,116,122
2024-03-06,Utah Jazz,Chicago Bulls,UTA,CHI,Delta Center,117,119
2024-03-06,Golden State Warriors,Milwaukee Bucks,GSW,MIL,Chase Center,125,90
2024-03-06,Portland Trail Blazers,Oklahoma City Thunder,POR,OKC,Moda Center,120,128
2024-03-06,Los Angeles Lakers,Sacramento Kings,LAL,SAC,Crypto.com Arena,120,130
2024-03-07,Detroit Pistons,Brooklyn Nets,DET,BKN,Little Caesars Arena,118,112
2024-03-07,Indiana Pacers,Minnesota Timberwolves,IND,MIN,Gainbridge Fieldhouse,111,113
2024-03-07,Dallas Mavericks,Miami Heat,DAL,MIA,American Airlines Center,114,108
2024-03-07,Phoenix Suns,Toronto Raptors,PHX,TOR,Footprint Center,120,113
2024-03-07,Denver Nuggets,Boston Celtics,DEN,BOS,Ball Arena,115,109
2024-03-07,Golden State Warriors,Chicago Bulls,GSW,CHI,Chase Center,122,125
2024-03-07,Sacramento Kings,San Antonio Spurs,SAC,SAS,Golden 1 Center,131,129
2024-03-08,Philadelphia 76ers,New Orleans Pelicans,PHI,NOP,Wells Fargo Center,95,103
2024-03-08,Washington Wizards,Charlotte Hornets,WAS,CHA,Capital One Arena,112,100
2024-03-08,Cleveland Cavaliers,Minnesota Timberwolves,CLE,MIN,Rocket Mortgage FieldHouse,113,104
2024-03-08,New York Knicks,Orlando Magic,NYK,ORL,Madison Square Garden,98,74
2024-03-08,Memphis Grizzlies,Atlanta Hawks,MEM,ATL,FedExForum,92,99
2024-03-08,Oklahoma City Thunder,Miami Heat,OKC,MIA,Paycom Center,107,100
2024-03-08,Los Angeles Lakers,Milwaukee Bucks,LAL,MIL,Crypto.com Arena,123,122
2024-03-08,Portland Trail Blazers,Houston Rockets,POR,HOU,Moda Center,107,123
2024-03-09,LA Clippers,Chicago Bulls,LAC,CHI,Crypto.com Arena,112,102
2024-03-09,Charlotte Hornets,Brooklyn Nets,CHA,BKN,Spectrum Center,110,99
2024-03-09,Detroit Pistons,Dallas Mavericks,DET,DAL,Little Caesars Arena,124,142
2024-03-09,Phoenix Suns,Boston Celtics,PHX,BOS,Footprint Center,107,117
2024-03-09,Golden State Warriors,San Antonio Spurs,GSW,SAS,Chase Center,113,126
2024-03-09,Denver Nuggets,Utah Jazz,DEN,UTA,Ball Arena,142,121
2024-03-09,Portland Trail Blazers,Toronto Raptors,POR,TOR,Moda Center,128,118
2024-03-10,LA Clippers,Milwaukee Bucks,LAC,MIL,Crypto.com Arena,117,124
2024-03-10,Atlanta Hawks,New Orleans Pelicans,ATL,NOP,State Farm Arena,103,116
2024-03-10,Miami Heat,Washington Wizards,MIA,WAS,Kaseya Center,108,110
2024-03-10,Orlando Magic,Indiana Pacers,ORL,IND,Kia Center,97,111
2024-03-10,Sacramento Kings,Houston Rockets,SAC,HOU,Golden 1 Center,104,112
2024-03-10,New York Knicks,Philadelphia 76ers,NYK,PHI,Madison Square Garden,73,79
2024-03-10,Cleveland Cavaliers,Brooklyn Nets,CLE,BKN,Rocket Mortgage FieldHouse,101,120
2024-03-10,Oklahoma City Thunder,Memphis Grizzlies,OKC,MEM,Paycom Center,124,93
2024-03-10,Los Angeles Lakers,Minnesota Timberwolves,LAL,MIN,Crypto.com Arena,120,109
2024-03-11,Detroit Pistons,Charlotte Hornets,DET,CHA,Little Caesars Arena,114,97
2024-03-11,Cleveland Cavaliers,Phoenix Suns,CLE,PHX,Rocket Mortgage FieldHouse,111,117
2024-03-11,Chicago Bulls,Dallas Mavericks,CHI,DAL,United Center,92,127
2024-03-11,San Antonio Spurs,Golden State Warriors,SAS,GSW,Frost Bank Center,102,112
2024-03-11,Denver Nuggets,Toronto Raptors,DEN,TOR,Ball Arena,125,119
2024-03-11,Portland Trail Blazers,Boston Celtics,POR,BOS,Moda Center,99,121
2024-03-12,New York Knicks,Philadelphia 76ers,NYK,PHI,Madison Square Garden,106,79
2024-03-12,Memphis Grizzlies,Washington Wizards,MEM,WAS,FedExForum,109,97
2024-03-12,Oklahoma City Thunder,Indiana Pacers,OKC,IND,Paycom Center,111,121
2024-03-12,San Antonio Spurs,Houston Rockets,SAS,HOU,Frost Bank Center,101,103
2024-03-12,Utah Jazz,Boston Celtics,UTA,BOS,Delta Center,107,123
2024-03-12,LA Clippers,Minnesota Timberwolves,LAC,MIN,Crypto.com Arena,100,118
2024-03-12,Sacramento Kings,Milwaukee Bucks,SAC,MIL,Golden 1 Center,129,94
2024-03-13,Detroit Pistons,Toronto Raptors,DET,TOR,Little Caesars Arena,113,104
2024-03-13,Orlando Magic,Brooklyn Nets,ORL,BKN,Kia Center,114,106
2024-03-13,Indiana Pacers,Chicago Bulls,IND,CHI,Gainbridge Fieldhouse,129,132
2024-03-13,Miami Heat,Denver Nuggets,MIA,DEN,Kaseya Center,88,100
2024-03-13,Memphis Grizzlies,Charlotte Hornets,MEM,CHA,FedExForum,98,110
2024-03-13,New Orleans Pelicans,Cleveland Cavaliers,NOP,CLE,Smoothie King Center,95,116
2024-03-13,Dallas Mavericks,Golden State Warriors,DAL,GSW,American Airlines Center,109,99
2024-03-13,Portland Trail Blazers,Atlanta Hawks,POR,ATL,Moda Center,106,102
2024-03-13,Sacramento Kings,Los Angeles Lakers,SAC,LAL,Golden 1 Center,120,107
2024-03-14,Boston Celtics,Phoenix Suns,BOS,PHX,TD Garden,127,112
2024-03-14,Chicago Bulls,LA Clippers,CHI,LAC,United Center,111,126
2024-03-14,Houston Rockets,Washington Wizards,HOU,WAS,Toyota Center,135,119
2024-03-14,Milwaukee Bucks,Philadelphia 76ers,MIL,PHI,Fiserv Forum,114,105
2024-03-14,Oklahoma City Thunder,Dallas Mavericks,OKC,DAL,Paycom Center,126,119
2024-03-14,Portland Trail Blazers,New York Knicks,POR,NYK,Moda Center,93,105
2024-03-15,Charlotte Hornets,Phoenix Suns,CHA,PHX,Spectrum Center,96,107
2024-03-15,Detroit Pistons,Miami Heat,DET,MIA,Little Caesars Arena,95,108
2024-03-15,Toronto Raptors,Orlando Magic,TOR,ORL,Scotiabank Arena,103,113
2024-03-15,New Orleans Pelicans,LA Clippers,NOP,LAC,Smoothie King Center,112,104
2024-03-15,San Antonio Spurs,Denver Nuggets,SAS,DEN,Moody Center,106,117
2024-03-15,Utah Jazz,Atlanta Hawks,UTA,ATL,Delta Center,124,122
2024-03-16,Houston Rockets,Cleveland Cavaliers,HOU,CLE,Toyota Center,117,103
2024-03-16,Indiana Pacers,Brooklyn Nets,IND,BKN,Gainbridge Fieldhouse,121,100
2024-03-16,Philadelphia 76ers,Charlotte Hornets,PHI,CHA,Wells Fargo Center,109,98
2024-03-16,New Orleans Pelicans,Portland Trail Blazers,NOP,POR,Smoothie King Center,126,107
2024-03-16,Chicago Bulls,Washington Wizards,CHI,WAS,United Center,127,98
2024-03-16,Memphis Grizzlies,Oklahoma City Thunder,MEM,OKC,FedExForum,112,118
2024-03-16,Los Angeles Lakers,Golden State Warriors,LAL,GSW,Crypto.com Arena,121,128
2024-03-16,Utah Jazz,Minnesota Timberwolves,UTA,MIN,Delta Center,100,119
2024-03-16,Sacramento Kings,New York Knicks,SAC,NYK,Golden 1 Center,91,98
2024-03-17,Milwaukee Bucks,Phoenix Suns,MIL,PHX,Fiserv Forum,140,129
2024-03-17,Detroit Pistons,Miami Heat,DET,MIA,Little Caesars Arena,101,104
2024-03-17,Dallas Mavericks,Denver Nuggets,DAL,DEN,American Airlines Center,107,105
2024-03-17,Orlando Magic,Toronto Raptors,ORL,TOR,Kia Center,111,96
2024-03-17,Washington Wizards,Boston Celtics,WAS,BOS,Capital One Arena,104,130
2024-03-17,San Antonio Spurs,Brooklyn Nets,SAS,BKN,Moody Center,122,115
2024-03-17,LA Clippers,Atlanta Hawks,LAC,ATL,Crypto.com Arena,93,110
2024-03-18,Indiana Pacers,Cleveland Cavaliers,IND,CLE,Gainbridge Fieldhouse,103,108
2024-03-18,Boston Celtics,Detroit Pistons,BOS,DET,TD Garden,119,94
2024-03-18,Philadelphia 76ers,Miami Heat,PHI,MIA,Wells Fargo Center,98,91
2024-03-18,Chicago Bulls,Portland Trail Blazers,CHI,POR,United Center,110,107
2024-03-18,Utah Jazz,Minnesota Timberwolves,UTA,MIN,Delta Center,104,114
2024-03-18,Golden State Warriors,New York Knicks,GSW,NYK,Chase Center,112,119
2024-03-18,Sacramento Kings,Memphis Grizzlies,SAC,MEM,Golden 1 Center,121,111
2024-03-18,Los Angeles Lakers,Atlanta Hawks,LAL,ATL,Crypto.com Arena,136,105
2024-03-19,Orlando Magic,Charlotte Hornets,ORL,CHA,Kia Center,112,92
2024-03-19,Washington Wizards,Houston Rockets,WAS,HOU,Capital One Arena,114,137
2024-03-19,Brooklyn Nets,New Orleans Pelicans,BKN,NOP,Barclays Center,91,104
2024-03-19,San Antonio Spurs,Dallas Mavericks,SAS,DAL,Frost Bank Center,107,113
2024-03-19,Minnesota Timberwolves,Denver Nuggets,MIN,DEN,Target Center,112,115
2024-03-20,Cleveland Cavaliers,Miami Heat,CLE,MIA,Rocket Mortgage FieldHouse,104,107
2024-03-20,Detroit Pistons,Indiana Pacers,DET,IND,Little Caesars Arena,103,122
2024-03-20,Boston Celtics,Milwaukee Bucks,BOS,MIL,TD Garden,122,119
2024-03-20,Toronto Raptors,Sacramento Kings,TOR,SAC,Scotiabank Arena,89,123
2024-03-20,Oklahoma City Thunder,Utah Jazz,OKC,UTA,Paycom Center,119,107
2024-03-20,Golden State Warriors,Memphis Grizzlies,GSW,MEM,Chase Center,137,116
2024-03-20,Phoenix Suns,Philadelphia 76ers,PHX,PHI,Footprint Center,115,102
2024-03-20,Portland Trail Blazers,LA Clippers,POR,LAC,Moda Center,103,116
2024-03-21,Orlando Magic,New Orleans Pelicans,ORL,NOP,Kia Center,121,106
2024-03-21,Washington Wizards,Sacramento Kings,WAS,SAC,Capital One Arena,109,102
2024-03-21,Houston Rockets,Chicago Bulls,HOU,CHI,Toyota Center,127,117
2024-03-21,Milwaukee Bucks,Brooklyn Nets,MIL,BKN,Fiserv Forum,115,108
2024-03-21,Dallas Mavericks,Utah Jazz,DAL,UTA,American Airlines Center,113,97
2024-03-21,Denver Nuggets,New York Knicks,DEN,NYK,Ball Arena,113,100
2024-03-21,Phoenix Suns,Atlanta Hawks,PHX,ATL,Footprint Center,128,115
2024-03-22,Detroit Pistons,Boston Celtics,DET,BOS,Little Caesars Arena,102,129
2024-03-22,Toronto Raptors,Oklahoma City Thunder,TOR,OKC,Scotiabank Arena,103,123
2024-03-22,Miami Heat,New Orleans Pelicans,MIA,NOP,Kaseya Center,88,111
2024-03-22,Minnesota Timberwolves,Cleveland Cavaliers,MIN,CLE,Target Center,104,91
2024-03-22,San Antonio Spurs,Memphis Grizzlies,SAS,MEM,Frost Bank Center,97,99
2024-03-22,Golden State Warriors,Indiana Pacers,GSW,IND,Chase Center,111,123
2024-03-22,Portland Trail Blazers,LA Clippers,POR,LAC,Moda Center,117,125
2024-03-22,Los Angeles Lakers,Philadelphia 76ers,LAL,PHI,Crypto.com Arena,101,94
2024-03-23,New York Knicks,Brooklyn Nets,NYK,BKN,Madison Square Garden,105,93
2024-03-23,Orlando Magic,Sacramento Kings,ORL,SAC,Kia Center,107,109
2024-03-23,Atlanta Hawks,Charlotte Hornets,ATL,CHA,State Farm Arena,132,91
2024-03-23,Washington Wizards,Toronto Raptors,WAS,TOR,Capital One Arena,112,109
2024-03-23,Chicago Bulls,Boston Celtics,CHI,BOS,United Center,113,124
2024-03-23,Houston Rockets,Utah Jazz,HOU,UTA,Toyota Center,147,119
2024-03-23,San Antonio Spurs,Phoenix Suns,SAS,PHX,Frost Bank Center,106,131
2024-03-23,Portland Trail Blazers,Denver Nuggets,POR,DEN,Moda Center,111,114
2024-03-24,Detroit Pistons,New Orleans Pelicans,DET,NOP,Little Caesars Arena,101,114
2024-03-24,LA Clippers,Philadelphia 76ers,LAC,PHI,Crypto.com Arena,107,121
2024-03-24,Miami Heat,Cleveland Cavaliers,MIA,CLE,Kaseya Center,121,84
2024-03-24,Milwaukee Bucks,Oklahoma City Thunder,MIL,OKC,Fiserv Forum,118,93
2024-03-24,Minnesota Timberwolves,Golden State Warriors,MIN,GSW,Target Center,114,110
2024-03-24,Los Angeles Lakers,Indiana Pacers,LAL,IND,Crypto.com Arena,150,145
2024-03-25,Cleveland Cavaliers,Charlotte Hornets,CLE,CHA,Rocket Mortgage FieldHouse,115,92
2024-03-25,Atlanta Hawks,Boston Celtics,ATL,BOS,State Farm Arena,120,118
2024-03-25,New York Knicks,Detroit Pistons,NYK,DET,Madison Square Garden,124,99
2024-03-25,Toronto Raptors,Brooklyn Nets,TOR,BKN,Scotiabank Arena,88,96
2024-03-25,Chicago Bulls,Washington Wizards,CHI,WAS,United Center,105,107
2024-03-25,Houston Rockets,Portland Trail Blazers,HOU,POR,Toyota Center,110,92
2024-03-25,San Antonio Spurs,Phoenix Suns,SAS,PHX,Frost Bank Center,104,102
2024-03-25,Denver Nuggets,Memphis Grizzlies,DEN,MEM,Ball Arena,128,103
2024-03-25,Utah Jazz,Dallas Mavericks,UTA,DAL,Delta Center,105,115
2024-03-25,Sacramento Kings,Philadelphia 76ers,SAC,PHI,Golden 1 Center,108,96
2024-03-25,LA Clippers,Indiana Pacers,LAC,IND,Crypto.com Arena,116,133
2024-03-26,Miami Heat,Golden State Warriors,MIA,GSW,Kaseya Center,92,113
2024-03-26,Milwaukee Bucks,Los Angeles Lakers,MIL,LAL,Fiserv Forum,124,128
2024-03-26,New Orleans Pelicans,Oklahoma City Thunder,NOP,OKC,Smoothie King Center,112,119
2024-03-26,Sacramento Kings,Dallas Mavericks,SAC,DAL,Golden 1 Center,96,132
2024-03-27,Charlotte Hornets,Cleveland Cavaliers,CHA,CLE,Spectrum Center,118,111
2024-03-27,Orlando Magic,Golden State Warriors,ORL,GSW,Kia Center,93,101
2024-03-27,Washington Wizards,Brooklyn Nets,WAS,BKN,Capital One Arena,119,122
2024-03-27,Atlanta Hawks,Portland Trail Blazers,ATL,POR,State Farm Arena,120,106
2024-03-27,Philadelphia 76ers,LA Clippers,PHI,LAC,Wells Fargo Center,107,108
